Assignment,Subject,Due Date,Task Link,Finish?
Quiz 1,Teori Bahasa dan Automata,20/09/2024 23:59 (GMT+7),,No
,,,,No
,,,,No
,,,,No
,,,,No
Zoom 1,,21/09/2024,,No
,,,,No
,,,,No
